EmployeeID,FirstName,LastName,Gender,BirthDate,HireDate,TerminationDate
HGY20240001,Sylvia,Mastandrea,M,1977-02-09,2021-12-02,
HGY20240002,Mattia,Sordi,M,1997-07-20,2022-12-31,
HGY20240003,Mercedes,Cagnotto,F,1986-06-11,2023-12-07,
HGY20240004,Coluccio,Medici,M,1980-03-27,2023-12-05,
HGY20240005,Tatiana,Zaguri,M,1983-05-23,2023-09-04,
HGY20240006,Fulvio,Badoglio,M,1982-07-18,2022-11-09,
HGY20240007,Paloma,Romiti,M,1971-03-23,2020-12-17,
HGY20240008,Gianfrancesco,Pascarella,M,2000-04-12,2022-02-06,
HGY20240009,Calcedonio,Cheda,F,1991-05-24,2021-05-10,
HGY20240010,Corrado,Malaparte,M,2000-09-22,2021-11-07,
HGY20240011,Domenico,Zacchia,M,1993-02-23,2023-10-24,
HGY20240012,Lorenzo,Binaghi,M,1999-09-02,2023-03-03,
HGY20240013,Dario,Fantoni,M,1984-03-08,2020-11-29,
HGY20240014,Leopoldo,Pizziol,M,1971-10-06,2021-04-29,
HGY20240015,Sante,Giradello,M,2002-05-02,2022-03-28,
HGY20240016,Rodolfo,Foa,M,1973-09-02,2020-04-03,
HGY20240017,Mariano,Cheda,F,1994-11-23,2020-08-15,
HGY20240018,Greca,Squarcione,M,1970-12-26,2022-11-08,
HGY20240019,Maurilio,Leone,F,1988-11-21,2023-01-10,
HGY20240020,Federigo,Zanzi,F,1970-12-23,2022-11-07,
HGY20240021,Caterina,Cerquiglini,M,1987-09-09,2022-03-24,
HGY20240022,Marisa,Ginesio,M,1972-01-06,2020-02-28,
HGY20240023,Liliana,Gulotta,F,1999-12-16,2022-05-26,
HGY20240024,Rolando,Bossi,F,1992-10-25,2022-04-26,
HGY20240025,Alberico,Antelami,F,1975-12-27,2020-04-05,
HGY20240026,Massimiliano,Einaudi,M,2000-08-14,2021-11-21,
HGY20240027,Fabio,Gaito,M,1985-12-17,2023-01-02,
HGY20240028,Maria,Panatta,F,1986-01-13,2020-12-19,
HGY20240029,Pasqual,Ostinelli,M,1977-03-24,2020-03-28,
HGY20240030,Letizia,Littizzetto,M,1988-03-27,2020-04-09,
HGY20240031,Antonella,Mazzocchi,F,1991-12-09,2020-02-08,
HGY20240032,Melissa,Mantegazza,M,1977-06-23,2021-09-22,
HGY20240033,Leone,Vento,F,1971-10-27,2022-08-15,
HGY20240034,Pierluigi,Ludovisi,F,1993-11-18,2022-02-21,
HGY20240035,Giampiero,Torricelli,F,1993-05-21,2021-10-06,
HGY20240036,Dino,Marsili,M,1980-12-07,2021-01-01,
HGY20240037,Gustavo,Ponti,F,1969-08-13,2022-10-30,
HGY20240038,Tullio,Majorana,M,1988-11-16,2020-04-15,
HGY20240039,Tina,Guglielmi,F,1977-11-11,2020-05-17,
HGY20240040,Rosaria,Piacentini,M,1979-02-26,2021-07-24,
HGY20240041,Fedele,Serao,F,1970-10-31,2020-01-14,
HGY20240042,Liliana,Luxardo,F,1998-07-25,2023-02-03,
HGY20240043,Flavia,Pininfarina,M,1993-12-27,2020-04-25,2024-07-31 00:00:00
HGY20240044,Eleanora,Brichese,M,1982-08-14,2020-05-26,
HGY20240045,Bettina,Veltroni,M,1999-04-14,2021-01-05,
HGY20240046,Stefani,Napolitano,M,1982-04-27,2023-02-07,
HGY20240047,Maria,Magnani,F,1987-05-21,2020-10-28,
HGY20240048,Oreste,Sanudo,M,1996-07-30,2022-03-08,
HGY20240049,Adriana,Grasso,M,1966-07-15,2023-10-27,
HGY20240050,Lando,Sagredo,M,1995-06-02,2022-08-23,
HGY20240051,Lara,Pulci,F,1979-09-30,2021-02-24,
HGY20240052,Mirko,Ruggieri,F,1986-06-24,2022-11-01,
HGY20240053,Antonello,Leone,F,1973-10-28,2023-05-17,
HGY20240054,Adriano,Giannone,F,2000-05-06,2023-09-07,
HGY20240055,Marcello,Fermi,M,1991-12-08,2020-09-23,
HGY20240056,Elvira,Pareto,F,1998-12-31,2021-06-09,
HGY20240057,Filippo,Zoppetti,F,1984-05-28,2023-10-02,
HGY20240058,Gioachino,Sgalambro,M,1996-02-12,2021-12-03,
HGY20240059,Luciana,Gottardi,F,1980-02-24,2023-06-10,2024-05-31 00:00:00
